platform,milliseconds_played,latitude,longitude,city,timestamp,source,track_id,track_name,album_name,artist_id,artist_name,valence_score,danceability_score,familiarity_score,song_year,song_tempo,runnability,energy,popularity_normalized
OS X 10.10.3 [x86 8],304173,40.7,-74,New York,1435763805,album,4782ae70dfd04d3386d480d5c664b84d,Ain't My B*tch,Load,53da207d180c47769ea5560b5ff66cc7,Metallica,0.397618,0.412244,0.888432,1996,157.603,0.6843525,0.905342,0.5761181476
OS X 10.10.3 [x86 8],328200,40.7,-74,New York,1435764133,album,4ab732d9e73d473aa809614ef163881d,2 X 4,Load,53da207d180c47769ea5560b5ff66cc7,Metallica,0.684909,0.512179,0.888432,1996,115.217,0.75610816,0.89798,0.5479362724
OS X 10.10.3 [x86 8],398960,40.7,-74,New York,1435764532,album,08b0489d518e4f7bb55209eacfcdb1d1,The House Jack Built,Load,53da207d180c47769ea5560b5ff66cc7,Metallica,null,null,null,null,null,0.58709,0.8632253,0.5482728378
OS X 10.10.3 [x86 8],269573,40.7,-74,New York,1435764802,album,1126306e2d8c46518d7c5aca271a1077,Until It Sleeps,Load,53da207d180c47769ea5560b5ff66cc7,Metallica,0.711972,0.571832,0.888432,1996,113.388,0.79831266,0.9194778,0.6124728235
OS X 10.10.3 [x86 8],328133,40.7,-74,New York,1435765130,album,9e318129114946cdb9a0d5909267e205,King Nothing,Load,53da207d180c47769ea5560b5ff66cc7,Metallica,null,null,null,null,null,0.7424038,0.9088862,0.6129740447
OS X 10.10.3 [x86 8],261693,40.7,-74,New York,1435765392,album,9f4128bcbafb47a291c2dd4083b87c9c,Hero Of The Day,Load,53da207d180c47769ea5560b5ff66cc7,Metallica,null,null,null,null,null,0.5316932,0.9003053,0.6037543681
OS X 10.10.3 [x86 8],498133,40.7,-74,New York,1435765904,album,2ca9e679170b4f99a81e4e7450c851c2,Bleeding Me,Load,53da207d180c47769ea5560b5ff66cc7,Metallica,0.222332,0.393211,0.888432,1996,117.115,0.7403055,0.76099324,0.5666044791
OS X 10.10.3 [x86 8],294200,40.7,-74,New York,1435766198,album,f2836660954b41a3b9c5799a8a364e58,Cure,Load,53da207d180c47769ea5560b5ff66cc7,Metallica,null,null,null,null,null,0.92982095,0.8461399,0.5325747095
OS X 10.10.3 [x86 8],240000,40.7,-74,New York,1435766438,album,7e2164d5b5c1451fa913ae7de02b63e3,Poor Twisted Me,Load,53da207d180c47769ea5560b5ff66cc7,Metallica,0.430134,0.48524,0.888432,1996,118.138,0.4000873,0.919222,0.5265158916
OS X 10.10.3 [x86 8],237440,40.7,-74,New York,1435766675,album,c9f606feb7e14c5da04287bed8dac4e0,Wasting My Hate,Load,53da207d180c47769ea5560b5ff66cc7,Metallica,0.506173,0.520807,0.888432,1996,81.476,0.9182333,0.9198639,0.5411230668
